Source;Target;Weight;Type
1;2;2;Undirected
1;3;1;Undirected
1;7;1;Undirected
1;4;1;Undirected
1;10;2;Undirected
1;11;2;Undirected
1;12;1;Undirected
1;14;1;Undirected
2;14;1;Undirected
2;3;1;Undirected
2;15;2;Undirected
3;6;1;Undirected
3;5;2;Undirected
3;15;3;Undirected
3;4;2;Undirected
4;7;2;Undirected
4;8;2;Undirected
5;6;1;Undirected
7;10;1;Undirected
8;10;1;Undirected
8;9;1;Undirected
9;10;1;Undirected
10;11;2;Undirected
11;12;2;Undirected
12;13;1;Undirected
12;14;1;Undirected
13;14;1;Undirected
15;17;2;Undirected
15;16;1;Undirected
16;17;2;Undirected
18;19;3;Undirected
19;23;3;Undirected
19;21;2;Undirected
19;20;2;Undirected
20;21;1;Undirected
21;23;3;Undirected
21;22;2;Undirected
4;2;2;Undirected
16;3;1;Undirected
2;16;1;Undirected
16;4;2;Undirected
16;1;1;Undirected
7;13;1;Undirected
7;12;1;Undirected
5;1;2;Undirected
15;4;2;Undirected
15;1;1;Undirected
30;15;1;Undirected
30;16;1;Undirected
24;8;1;Undirected
24;10;1;Undirected
26;23;2;Undirected
26;18;1;Undirected
27;21;3;Undirected
26;19;1;Undirected
29;3;1;Undirected
29;6;1;Undirected
25;24;1;Undirected
25;10;1;Undirected
25;8;1;Undirected
9;12;1;Undirected
9;7;1;Undirected
27;26;3;Undirected
27;19;2;Undirected
28;3;1;Undirected
28;6;1;Undirected
28;29;1;Undirected
